%Time(s.),w1 (w[1]),w2 (w[2])
0.00000000e+00,-4.00000000e-01,-6.00000000e-01
1.00000000e-01,-4.61733342e-01,-6.31631242e-01
2.00000000e-01,-5.25559883e-01,-6.40148948e-01
3.00000000e-01,-5.88601436e-01,-6.13663806e-01
4.00000000e-01,-6.46612306e-01,-5.36582029e-01
5.00000000e-01,-6.93566655e-01,-3.88738097e-01
6.00000000e-01,-7.21151899e-01,-1.44380867e-01
7.00000000e-01,-7.18152952e-01,2.28997018e-01
8.00000000e-01,-6.69711327e-01,7.71991796e-01
9.00000000e-01,-5.56442903e-01,1.53478148e+00
1.00000000e+00,-3.53398860e-01,2.57876634e+00
