%Time(s.),X-Position (x[2]),Y-Position (x[1]),Input u
0.00000000e+00,9.97983375e-05,9.99950100e-03,0.00000000e+00
1.00000000e-02,1.99780395e-04,1.00367659e-02,3.87674234e-01
2.00000000e-02,3.00157123e-04,1.00785900e-02,4.41531683e-01
3.00000000e-02,4.00964468e-04,1.01230604e-02,4.75853704e-01
4.00000000e-02,5.02224622e-04,1.01693325e-02,5.01477390e-01
5.00000000e-02,6.03953148e-04,1.02169218e-02,5.22073508e-01
6.00000000e-02,7.06161607e-04,1.02655110e-02,5.39361815e-01
7.00000000e-02,8.08858855e-04,1.03148750e-02,5.54295150e-01
8.00000000e-02,9.12051781e-04,1.03648448e-02,5.67459865e-01
9.00000000e-02,1.01574577e-03,1.04152886e-02,5.79243917e-01
1.00000000e-01,1.11994503e-03,1.04660998e-02,5.89918049e-01
1.10000000e-01,1.22465278e-03,1.05171906e-02,5.99679097e-01
1.20000000e-01,1.32987144e-03,1.05684868e-02,6.08674887e-01
1.30000000e-01,1.43560274e-03,1.06199246e-02,6.17019401e-01
1.40000000e-01,1.54184782e-03,1.06714485e-02,6.24802474e-01
1.50000000e-01,1.64860730e-03,1.07230096e-02,6.32096226e-01
1.60000000e-01,1.75588133e-03,1.07745641e-02,6.38959478e-01
1.70000000e-01,1.86366965e-03,1.08260726e-02,6.45440861e-01
1.80000000e-01,1.97197161e-03,1.08774994e-02,6.51581064e-01
1.90000000e-01,2.08078624e-03,1.09288115e-02,6.57414492e-01
2.00000000e-01,2.19011224e-03,1.09799786e-02,6.62970505e-01
2.10000000e-01,2.29994803e-03,1.10309726e-02,6.68274373e-01
2.20000000e-01,2.41029175e-03,1.10817671e-02,6.73348004e-01
2.30000000e-01,2.52114127e-03,1.11323375e-02,6.78210525e-01
2.40000000e-01,2.63249426e-03,1.11826602e-02,6.82878735e-01
2.50000000e-01,2.74434812e-03,1.12327132e-02,6.87367473e-01
2.60000000e-01,2.85670006e-03,1.12824754e-02,6.91689914e-01
2.70000000e-01,2.96954707e-03,1.13319265e-02,6.95857810e-01
2.80000000e-01,3.08288596e-03,1.13810472e-02,6.99881694e-01
2.90000000e-01,3.19671333e-03,1.14298189e-02,7.03771038e-01
3.00000000e-01,3.31102561e-03,1.14782236e-02,7.07534396e-01
3.10000000e-01,3.42581906e-03,1.15262438e-02,7.11179522e-01
3.20000000e-01,3.54108974e-03,1.15738627e-02,7.14713463e-01
3.30000000e-01,3.65683358e-03,1.16210638e-02,7.18142645e-01
3.40000000e-01,3.77304632e-03,1.16678311e-02,7.21472947e-01
3.50000000e-01,3.88972356e-03,1.17141490e-02,7.24709758e-01
3.60000000e-01,4.00686073e-03,1.17600021e-02,7.27858033e-01
3.70000000e-01,4.12445312e-03,1.18053756e-02,7.30922337e-01
3.80000000e-01,4.24249588e-03,1.18502546e-02,7.33906889e-01
3.90000000e-01,4.36098398e-03,1.18946246e-02,7.36815590e-01
4.00000000e-01,4.47991229e-03,1.19384716e-02,7.39652062e-01
4.10000000e-01,4.59927552e-03,1.19817814e-02,7.42419667e-01
4.20000000e-01,4.71906822e-03,1.20245402e-02,7.45121537e-01
4.30000000e-01,4.83928485e-03,1.20667344e-02,7.47760591e-01
4.40000000e-01,4.95991968e-03,1.21083504e-02,7.50339557e-01
4.50000000e-01,5.08096689e-03,1.21493749e-02,7.52860987e-01
4.60000000e-01,5.20242051e-03,1.21897948e-02,7.55327271e-01
4.70000000e-01,5.32427444e-03,1.22295968e-02,7.57740653e-01
4.80000000e-01,5.44652244e-03,1.22687680e-02,7.60103238e-01
4.90000000e-01,5.56915816e-03,1.23072956e-02,7.62417011e-01
5.00000000e-01,5.69217511e-03,1.23451667e-02,7.64683839e-01
5.10000000e-01,5.81556668e-03,1.23823687e-02,7.66905483e-01
5.20000000e-01,5.93932612e-03,1.24188889e-02,7.69083606e-01
5.30000000e-01,6.06344656e-03,1.24547148e-02,7.71219781e-01
5.40000000e-01,6.18792102e-03,1.24898340e-02,7.73315495e-01
5.50000000e-01,6.31274239e-03,1.25242339e-02,7.75372158e-01
5.60000000e-01,6.43790341e-03,1.25579023e-02,7.77391105e-01
5.70000000e-01,6.56339673e-03,1.25908269e-02,7.79373605e-01
5.80000000e-01,6.68921486e-03,1.26229954e-02,7.81320862e-01
5.90000000e-01,6.81535021e-03,1.26543956e-02,7.83234022e-01
6.00000000e-01,6.94179503e-03,1.26850154e-02,7.85114175e-01
6.10000000e-01,7.06854148e-03,1.27148426e-02,7.86962359e-01
6.20000000e-01,7.19558159e-03,1.27438651e-02,7.88779565e-01
6.30000000e-01,7.32290727e-03,1.27720710e-02,7.90566735e-01
6.40000000e-01,7.45051031e-03,1.27994481e-02,7.92324772e-01
6.50000000e-01,7.57838237e-03,1.28259845e-02,7.94054536e-01
6.60000000e-01,7.70651502e-03,1.28516683e-02,7.95756850e-01
6.70000000e-01,7.83489967e-03,1.28764875e-02,7.97432502e-01
6.80000000e-01,7.96352764e-03,1.29004301e-02,7.99082247e-01
6.90000000e-01,8.09239012e-03,1.29234844e-02,8.00706805e-01
7.00000000e-01,8.22147820e-03,1.29456385e-02,8.02306869e-01
7.10000000e-01,8.35078282e-03,1.29668804e-02,8.03883104e-01
7.20000000e-01,8.48029482e-03,1.29871985e-02,8.05436145e-01
7.30000000e-01,8.61000492e-03,1.30065808e-02,8.06966606e-01
7.40000000e-01,8.73990373e-03,1.30250157e-02,8.08475073e-01
7.50000000e-01,8.86998173e-03,1.30424913e-02,8.09962113e-01
7.60000000e-01,9.00022930e-03,1.30589959e-02,8.11428267e-01
7.70000000e-01,9.13063667e-03,1.30745178e-02,8.12874060e-01
7.80000000e-01,9.26119398e-03,1.30890452e-02,8.14299994e-01
7.90000000e-01,9.39189126e-03,1.31025664e-02,8.15706555e-01
8.00000000e-01,9.52271839e-03,1.31150699e-02,8.17094209e-01
8.10000000e-01,9.65366517e-03,1.31265438e-02,8.18463408e-01
8.20000000e-01,9.78472127e-03,1.31369766e-02,8.19814586e-01
8.30000000e-01,9.91587622e-03,1.31463566e-02,8.21148162e-01
8.40000000e-01,1.00471195e-02,1.31546721e-02,8.22464542e-01
8.50000000e-01,1.01784403e-02,1.31619117e-02,8.23764115e-01
8.60000000e-01,1.03098280e-02,1.31680637e-02,8.25047261e-01
8.70000000e-01,1.04412716e-02,1.31731164e-02,8.26314343e-01
8.80000000e-01,1.05727601e-02,1.31770585e-02,8.27565716e-01
8.90000000e-01,1.07042823e-02,1.31798782e-02,8.28801721e-01
9.00000000e-01,1.08358270e-02,1.31815642e-02,8.30022688e-01
9.10000000e-01,1.09673829e-02,1.31821049e-02,8.31228937e-01
9.20000000e-01,1.10989383e-02,1.31814888e-02,8.32420779e-01
9.30000000e-01,1.12304817e-02,1.31797044e-02,8.33598512e-01
9.40000000e-01,1.13620015e-02,1.31767403e-02,8.34762429e-01
9.50000000e-01,1.14934857e-02,1.31725850e-02,8.35912811e-01
9.60000000e-01,1.16249224e-02,1.31672272e-02,8.37049931e-01
9.70000000e-01,1.17562996e-02,1.31606555e-02,8.38174055e-01
9.80000000e-01,1.18876052e-02,1.31528584e-02,8.39285440e-01
9.90000000e-01,1.20188267e-02,1.31438247e-02,8.40384336e-01
1.00000000e+00,1.21499518e-02,1.31335430e-02,8.41470985e-01
1.01000000e+00,1.22809680e-02,1.31220020e-02,8.42545622e-01
1.02000000e+00,1.24118627e-02,1.31091904e-02,8.43608478e-01
1.03000000e+00,1.25426232e-02,1.30950969e-02,8.44659773e-01
1.04000000e+00,1.26732365e-02,1.30797105e-02,8.45699723e-01
1.05000000e+00,1.28036898e-02,1.30630197e-02,8.46728540e-01
1.06000000e+00,1.29339699e-02,1.30450136e-02,8.47746427e-01
1.07000000e+00,1.30640637e-02,1.30256809e-02,8.48753583e-01
1.08000000e+00,1.31939579e-02,1.30050104e-02,8.49750201e-01
1.09000000e+00,1.33236390e-02,1.29829912e-02,8.50736470e-01
1.10000000e+00,1.34530936e-02,1.29596122e-02,8.51712573e-01
1.11000000e+00,1.35823080e-02,1.29348623e-02,8.52678688e-01
1.12000000e+00,1.37112686e-02,1.29087306e-02,8.53634989e-01
1.13000000e+00,1.38399614e-02,1.28812060e-02,8.54581645e-01
1.14000000e+00,1.39683724e-02,1.28522778e-02,8.55518822e-01
1.15000000e+00,1.40964877e-02,1.28219349e-02,8.56446679e-01
1.16000000e+00,1.42242931e-02,1.27901666e-02,8.57365375e-01
1.17000000e+00,1.43517742e-02,1.27569620e-02,8.58275060e-01
1.18000000e+00,1.44789168e-02,1.27223104e-02,8.59175886e-01
1.19000000e+00,1.46057062e-02,1.26862010e-02,8.60067996e-01
1.20000000e+00,1.47321279e-02,1.26486232e-02,8.60951533e-01
1.21000000e+00,1.48581672e-02,1.26095663e-02,8.61826636e-01
